Ano;Órgão Orçamentário;Projeto de Lei;Dotação Inicial;Dotação Atual;Empenhado;Liquidado;Pago
Total;;1.731.818.295.728;1.898.868.437.654;1.959.898.005.317;1.929.158.474.163;1.842.106.245.858;1.762.398.418.932
2023;22000 - Ministério da Agricultura e Pecuária;13.335.105.327;15.308.752.660;10.779.761.727;10.498.552.062;9.114.928.038;8.449.963.283
2023;24000 - Ministério da Ciência, Tecnologia e Inovação;12.482.543.817;13.321.162.236;11.334.761.107;11.133.680.409;9.354.857.670;9.015.906.637
2023;25000 - Ministério da Fazenda;37.034.408.210;38.692.095.692;27.741.022.105;22.333.849.561;21.348.435.331;20.022.606.375
2023;26000 - Ministério da Educação;147.396.081.232;158.963.838.553;169.093.923.415;165.008.018.797;150.830.992.285;142.574.483.900
2023;28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços;0;0;2.679.593.919;1.589.778.170;1.484.457.682;1.408.156.023
2023;30000 - Ministério da Justiça e Segurança Pública;18.856.050.310;20.196.255.457;20.615.749.785;19.821.572.965;17.542.886.210;16.612.674.880
2023;32000 - Ministério de Minas e Energia;9.079.763.012;9.076.181.825;9.366.738.755;4.881.193.184;4.515.448.712;4.363.767.543
2023;33000 - Ministério da Previdência Social;0;0;918.486.952.185;918.062.794.140;914.739.377.089;861.560.819.482
2023;35000 - Ministério das Relações Exteriores;4.837.421.444;4.786.936.445;4.707.460.539;4.501.183.918;4.328.137.499;4.273.977.837
2023;36000 - Ministério da Saúde;162.864.855.939;183.784.929.160;194.776.804.832;194.214.425.552;172.151.981.166;170.262.809.352
2023;39000 - Ministério dos Transportes;17.276.756.983;29.392.612.040;22.486.442.824;20.710.870.994;14.351.215.500;13.922.668.004
2023;40000 - Ministério do Trabalho e Emprego;973.397.967.154;979.508.140.951;102.244.447.791;102.160.450.033;99.421.458.916;98.969.978.706
2023;41000 - Ministério das Comunicações;2.998.272.081;2.992.364.527;1.879.190.491;1.597.041.690;1.342.775.377;1.278.164.836
2023;42000 - Ministério da Cultura;0;0;3.543.962.555;3.075.614.611;2.491.154.302;2.397.687.428
2023;44000 - Ministério do Meio Ambiente e Mudança do Clima;2.963.602.794;3.552.346.990;4.072.238.423;3.616.934.151;3.225.961.933;3.041.957.577
2023;46000 - Ministério da Gestão e da Inovação em Serviços Públicos;0;0;7.990.011.222;7.295.602.858;6.432.567.849;5.999.822.771
2023;47000 - Ministério do Planejamento e Orçamento;0;0;3.426.137.478;3.408.461.683;3.318.778.626;3.067.457.206
2023;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;0;0;5.289.144.641;4.330.978.798;4.002.552.526;3.786.429.273
2023;51000 - Ministério do Esporte;0;0;1.366.963.689;984.878.690;353.700.774;350.673.679
2023;52000 - Ministério da Defesa;121.041.096.423;122.622.247.603;124.299.596.065;121.172.338.774;114.077.498.090;108.010.663.576
2023;53000 - Ministério da Integração e do Desenvolvimento Regional;7.205.648.381;32.356.643.680;12.983.315.573;12.474.267.660;3.963.544.249;3.791.570.109
2023;54000 - Ministério do Turismo;2.287.910.094;7.289.340.299;755.314.312;734.520.342;9.482.662;8.519.252
2023;55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;198.760.812.527;277.024.589.536;273.027.121.979;272.672.747.366;269.455.226.615;265.291.155.304
2023;56000 - Ministério das Cidades;0;0;20.695.808.269;20.385.423.169;12.531.804.041;12.334.397.010
2023;58000 - Ministério da Pesca e Aquicultura;0;0;188.763.683;188.257.960;58.570.838;43.254.330
2023;65000 - Ministério das Mulheres;0;0;149.006.993;147.124.619;27.556.424;27.206.726
2023;67000 - Ministério da Igualdade Racial;0;0;89.321.870;88.436.533;56.516.395;47.313.515
2023;68000 - Ministério de Portos e Aeroportos;0;0;5.015.348.115;1.259.187.857;954.223.689;906.793.152
2023;84000 - Ministério dos Povos Indígenas;0;0;813.100.975;810.287.618;620.155.369;577.541.164
